Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Written-By_discogs,Choir_discogs,Producer_discogs,Arranged By_discogs,Trombone_discogs,Trumpet_discogs,Adapted By_discogs,Bagpipes_discogs,Flute [Dvojnica]_discogs,Guest_discogs,Vocals [Duet]_discogs,Backing Vocals_discogs,Featuring_discogs,Lead Vocals_discogs,Engineer_discogs,Performer_discogs,Guitar_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Boris Novković,Boris Novković,Svaki Put,4:18,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Gore Iznad Oblaka,3:59,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Ljubav U Miljama,3:35,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Osloni Se,5:07,Fayo,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Da Si Barem Tu,3:36,Boris Novković,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Pijesak,4:43,Helena Papić,'Ko Je Kriv,,Helena Papić,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv/2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,Za Tebe Se Borim,3:08,Miroslav Pilj,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Zlatna Jabuka,3:42,Miroslav Pilj,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv/2005.0-Zlatna Kolekcija/nan-The Platinum Collection
Boris Novković,Boris Novković,Elois,3:02,Stevo Cvikić,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv/2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Nebo Boje Vanilije,3:56,Miroslav Pilj,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Staklo,4:01,Boris Novković,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Ko Sam Bez Tebe,4:09,Boris Novković,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Ko Je Kriv,4:48,Zlatan Fazlić,'Ko Je Kriv,,Zlatan Fazlić,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
Boris Novković,Boris Novković,Godinama Nema Radosti,3:34,,The Best Of... 1995 - 2003,,,,,,,,,,,,,,,,,,,,,nan-The Best Of... 1995 - 2003,nan-The Best Of... 1995 - 2003/nan-The Best Of...
Boris Novković,Boris Novković,Pjesma Moja To Si Ti,2:51,,The Best Of... 1995 - 2003,,,,,,,,,,,,,,,,,,,,,nan-The Best Of... 1995 - 2003,nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,"Lete Ptice, Lete Avioni",4:18,Vjekoslava Huljić,The Best Of... 1995 - 2003,,,,,,Boris I Noćna Straža,,,,,,,,,,,,,,,nan-The Best Of... 1995 - 2003,nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2008.0-The Platinum Collection
Boris Novković,Boris Novković,'Ko Je Kriv,4:47,Zlatan Fazlić,The Best Of... 1995 - 2003,,Zlatan Fazlić,,,,,,,,,,,Severina,,,,,,,,nan-The Best Of... 1995 - 2003,nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,'Ko Sam Bez Tebe,4:06,,The Best Of... 1995 - 2003,,,,,,,,,,,,,,,,,,,,,nan-The Best Of... 1995 - 2003,nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/nan-The Best Of Collection
Boris Novković,Boris Novković,Malo Nas Je Al' Nas Ima,,,Malo Nas Je Al' Nas Ima,2004.0,,,,,,,,,,,,,,,,,,,,2004.0-Malo Nas Je Al' Nas Ima,2004.0-Malo Nas Je Al' Nas Ima/nan-Ostvaren San/2008.0-The Platinum Collection
Boris Novković,Boris Novković,Ostvaren San,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San/2005.0-LIVE Ostvaren San/2007.0-Mojih Prvih 20 Live/nan-Braco Hvala Ti
Boris Novković,Boris Novković,Njoj,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Čitam Te K'o Knjigu,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Blagoslov,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,To Su Bili Dani,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Zgrabi Svoju Sreću,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Nije Fer,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Ti I Ja,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Minut Duže,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Da Li Si To Ti,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Pjevam O Tebi,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San/nan-Braco Hvala Ti
Boris Novković,Boris Novković,Prežalit Ću,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Bonus Track,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San/nan-Via Ljubav
Boris Novković,Boris Novković,Fulfilled Dream,,,Ostvaren San,,,,,,,,,,,,,,,,,,,,,nan-Ostvaren San,nan-Ostvaren San
Boris Novković,Boris Novković,Glumim Da Te Ne Volim,3:26,,Zlatna Kolekcija,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Nena,3:06,,Zlatna Kolekcija,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija/nan-The Platinum Collection
Boris Novković,Boris Novković,Julija,3:16,,Zlatna Kolekcija,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Plus Pedeset I Minus Dva,3:40,,Zlatna Kolekcija,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija/nan-The Platinum Collection
Boris Novković,Boris Novković,Tko Sam Bez Tebe,4:34,,LIVE Ostvaren San,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-LIVE Ostvaren San,2005.0-LIVE Ostvaren San/2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Dobrodošla ,4:29,,LIVE Ostvaren San,2005.0,,,,,,,,,,,,,,,Miki Perić,,,,,2005.0-LIVE Ostvaren San,2005.0-LIVE Ostvaren San
Boris Novković,Boris Novković,Jači Od Sudbine ,6:55,,LIVE Ostvaren San,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-LIVE Ostvaren San,2005.0-LIVE Ostvaren San
Boris Novković,Boris Novković,Vukovi Umiru Sami,3:56,,LIVE Ostvaren San,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-LIVE Ostvaren San,2005.0-LIVE Ostvaren San/2005.0-Vukovi Umiru Sami/2005.0-Vukovi Umiru Sami
Boris Novković,Boris Novković,Šta Je Sa Princezom,5:43,,LIVE Ostvaren San,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-LIVE Ostvaren San,2005.0-LIVE Ostvaren San
Boris Novković,Boris Novković,Tamara,11:07,,LIVE Ostvaren San,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-LIVE Ostvaren San,2005.0-LIVE Ostvaren San
Boris Novković,Boris Novković,Vukovi Umiru Sami (Instrumental),3:04,,Vukovi Umiru Sami,2005.0,,,,,,,,,,,,,,,,,,,,2005.0-Vukovi Umiru Sami,2005.0-Vukovi Umiru Sami
Boris Novković,Boris Novković,Eloise ,,,Mojih Prvih 20 Live,2007.0,,Stevo Cvikić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Prodala Me Ti ,,,Mojih Prvih 20 Live,2007.0,,Vjekoslava Huljić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live/nan-The Platinum Collection
Boris Novković,Boris Novković,Da Te Nisam Ljubio ,,,Mojih Prvih 20 Live,2007.0,,Boris Novković,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Kad Te Srce Za Mnom Zaboli ,,,Mojih Prvih 20 Live,2007.0,,Boris Novković,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Pjesma Moja To Si Ti ,,,Mojih Prvih 20 Live,2007.0,,Zlatko Arslanagić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Kansas City ,,,Mojih Prvih 20 Live,2007.0,,Leiber & Stoller,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Ružo Snena,,,Mojih Prvih 20 Live,2007.0,,Duško Rapotec - Ute,,Nikša Bratoš,,,,,,,Stjepan Večković,,,,,Franjo Valentić,Stjepan Večković,Nikša Bratoš,Franjo Valentić,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection
Boris Novković,Boris Novković,Daleko ,,,Mojih Prvih 20 Live,2007.0,,Zlatko Arslanagić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković, Lete Ptice,,,Mojih Prvih 20 Live,2007.0,,Zlatko Arslanagić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Tko Je Kriv,,,Mojih Prvih 20 Live,2007.0,,Zlatan Fazlić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Moja Štikla,,,Mojih Prvih 20 Live,2007.0,,Severina,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Vukovi Umiru Sami ,,,Mojih Prvih 20 Live,2007.0,,Franjo Valentić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Šta Je Sa Princezom Moje Vrele Mladosti,,,Mojih Prvih 20 Live,2007.0,,Bill Conti,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković, Emily,,,Mojih Prvih 20 Live,2007.0,,Zlatko Arslanagić,,,,,,,,,,,,,,,,,,2007.0-Mojih Prvih 20 Live,2007.0-Mojih Prvih 20 Live
Boris Novković,Boris Novković,Braco Hvala Ti,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,U Tvojim Očima,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,Preko Tebe,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,Sve Što Daješ Je Ljubav,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,Tanka Je Linija Od Ivice Do Brace,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,Sreća Je Tvoj I Naš Dom,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,Svaki Dan,,,Braco Hvala Ti,,,,,,,,,,,,,,,,,,,,,nan-Braco Hvala Ti,nan-Braco Hvala Ti
Boris Novković,Boris Novković,Ne Kuni Se,3:10,,Ne Kuni Se,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-Ne Kuni Se,2008.0-Ne Kuni Se/2008.0-The Platinum Collection/nan-Zapisan U Tebi/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Otkada Je Otišla,3:49,,Otkada Je Otišla,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-Otkada Je Otišla,2008.0-Otkada Je Otišla/2008.0-The Platinum Collection/nan-Zapisan U Tebi/nan-The Best Of Collection
Boris Novković,Boris Novković,Gdje Si Ti,4:57,,Otkada Je Otišla,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-Otkada Je Otišla,2008.0-Otkada Je Otišla/2008.0-The Platinum Collection/nan-Zapisan U Tebi/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,CD1,,,The Platinum Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Platinum Collection,2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,Vukovi Umiri Sami,,,The Platinum Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Platinum Collection,2008.0-The Platinum Collection
Boris Novković,Boris Novković,Vise Ništa Nije Kao Prije,,,The Platinum Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Platinum Collection,2008.0-The Platinum Collection
Boris Novković,Boris Novković,CD2,,,The Platinum Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Platinum Collection,2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,Što Je S Princezom Moje Vrele Mladosti,,,The Platinum Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Platinum Collection,2008.0-The Platinum Collection/nan-The Best Of Collection
Boris Novković,Boris Novković,Glumin Da Te Ne Volim,,,The Platinum Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Platinum Collection,2008.0-The Platinum Collection
Boris Novković,Boris Novković,Zapisan U Tebi,4:10,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Kad Ljubav Stigne U Grad,3:57,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Obećajem,4:20,,Zapisan U Tebi,,,,,,,,,,,,,Danijela D. Karić,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Suvenir,3:43,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Više Me Neće,4:04,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Ispod Mog Kišobrana,3:38,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Ljubav Nije Ovih Dana,3:52,,Zapisan U Tebi,,Keith Urban,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Dani Što Se Pamte,4:05,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Malo Ljubavi,3:31,,Zapisan U Tebi,,,,,,,,,,,,,,,,,,,,,nan-Zapisan U Tebi,nan-Zapisan U Tebi
Boris Novković,Boris Novković,Što Je S Princezom Moje Mladosti (U Tvojim Očima),3:33,,The Platinum Collection,,,,,,,,,,,,,,,,,,,,,nan-The Platinum Collection,nan-The Platinum Collection
Boris Novković,Boris Novković,Za Sve Ove Divne Žene,4:11,,The Platinum Collection,,,,,,,,,,,,,,,,,,,,,nan-The Platinum Collection,nan-The Platinum Collection
Boris Novković,Boris Novković,Via Ljubav,4:11,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav/nan-The Best Of Collection
Boris Novković,Boris Novković,S.O.S.,4:15,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Vila,3:41,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Ni Na Nebu Ni Na Zemlji,3:41,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Drži Me U Zabludi,4:51,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Non Stop,4:11,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Mijenjam Se,4:10,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Ti Tražiš Razlog,4:29,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Vjerujem U Tebe,5:22,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Rasprodaja,3:17,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Voda I Zrak,3:42,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav
Boris Novković,Boris Novković,Nek' Se Raduje,3:23,,Via Ljubav,,,,,,,,,,,,,,,,,,,,,nan-Via Ljubav,nan-Via Ljubav/nan-The Best Of Collection
Boris Novković,Boris Novković,Hitna Ljubav,4:00,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Lako Je Tebi,3:39,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Još Sam Uvijek Tvoj,3:46,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Kunem Ti Se,3:23,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Reci Mi,3:08,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Na Rubu Ljubavi,3:09,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,"E, Da Barem Imaš Srce Moje",3:51,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Veterani Ljubavi,4:25,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Glave Si Mi Došla Ti,3:34,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Razlog,4:25,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,"Zbogom, Doviđenja",3:22,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Prokišnjava Mi Srce,4:00,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Zašto Noćas,3:30,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Božić Je Tu,4:22,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Ja Spremam Kofer,2:52,,Još Sam Uvijek Tvoj,,,,,,,,,,,,,,,,,,,,,nan-Još Sam Uvijek Tvoj,nan-Još Sam Uvijek Tvoj
Boris Novković,Boris Novković,Ti Si Mi Posljednja Nada,3:54,,Ti Si Mi Posljednja Nada,2017.0,,,,,,,,,,,,,,,,,,,,2017.0-Ti Si Mi Posljednja Nada,2017.0-Ti Si Mi Posljednja Nada
Boris Novković,Boris Novković,Čista Ljubav,3:43,,Čista Ljubav,2017.0,,,,,,,,,,,,,,,,,,,,2017.0-Čista Ljubav,2017.0-Čista Ljubav/2021.0-Gori Ulica
Boris Novković,Boris Novković,Moskva,3:39,,Moskva,2018.0,,,,,,,,,,,,,,,,,,,,2018.0-Moskva,2018.0-Moskva/2021.0-Gori Ulica
Boris Novković,Boris Novković,Gori Ulica,3:14,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Srebro,3:40,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,"Pun Mjesec, Ti I Ja",3:14,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Moja Djevojka,3:22,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Dinamit,2:56,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Ljeto Je,3:15,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Nisam Više Sam,3:58,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Ispod Starog Mosta,4:22,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Moj Grad Bez Ljudi,4:07,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
Boris Novković,Boris Novković,Ti Si Vrag,3:56,,Gori Ulica,2021.0,,,,,,,,,,,,,,,,,,,,2021.0-Gori Ulica,2021.0-Gori Ulica
