Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,All_albums_discogs
0,vOntpwRZ_1_0,Gazde,Gazde,A ti se neces vratiti,1513,"Od Banata prema Srijemu nisko oblaci 
noc se spustila pa se ne vidi 
samo moje misli po ravnici putuju 
ja ih posaljem al' se vracaju 

A ti, ti se neces vratiti 
a ti, ti se neces vratiti 
 
To je bilo davno, pa se nitko ne sjeca 
rode nestale jednog proljeca 
vratit ce se, kazu ljudi, ove godine
ove godine il' dogodine 

A ti, ti se neces vratiti 
a ti, ti se neces vratiti 

Ref. 
Ravno, nigdje brda, sve je ravno 
ravno mi je sve
jer u tvome srcu vec odavno 
drugi stanuje 

Ej, kad bi (samo) znala ti
koliko trebas mi 

Hajde noci tiho, tise sitni tonovi 
da se nikome to ne ponovi 
bruje zice, srce trne, grom te pogodi 
to se dogodi il' ne dogodi 

A ti na bijelom perju zaspi mi
a ti na bijelom perju zaspi mi

Ref. 2x","https://tekstovi.net/2,962,56203.html",,A ti se neces vratiti,And You're not Coming Back,,"Od Banata prema Sremu nisko oblaci,
noc se spustila,pa se ne vidi...
samo moje misli po ravnici putuju-
ja ih posaljem al se vracaju...
A ti,a ti se neces vratiti....
To je bilo davno,pa se niko ne seca-
rode nestale jednog proleca...
vratice se,kazu ljudi,ove godine...
ove godine il dogodine...
A ti,a ti se neces vratiti..... REF:
Ravno,nigde brda,sve je ravno-
ravno mi je sve,
jer u tvome srcu vec odavno
drugi stanuje...
Ej,kad bi znala ti...
(kad bi samo znala ti)
koliko trebas mi!. Hajde noci tiho,tise,sitni tonovi,
da se nikome to ne ponovi...
bruje zice,srce trne,grom te pogodi-
to se dogodi il ne dogodi....
A ti na belom perju zaspi.... REF:
Ravno,nigde brda,sve je ravno-
ravno mi je sve,
jer u tvome srcu vec odavno
drugi stanuje...
Ej,kad bi znala ti...
(kad bi samo znala ti)
koliko trebas mi!","From Banat towards Syrmia low clouds
Night fell, so it's impossible to see
Only my thoughts travel across the plains
I send them out but they come back
And you, and you're not coming back
That was long ago, so no one remembers
Storks disappeared one spring
They'll be back, people say, this year
This year or next year
And you, and you're not coming back. REF:
Flat, nowhere hills, everything's flat
Everything's flat for me,
Because in your heart since long ago
Someone else resides
Hey, if you knew
(If you only knew)
How much I need you. Come on, at night quiet, quieter, minor tones
So that it doesn't happen to anyone again
Buzzing wires, heart numbs, lightning hits you
That happens or doesn't happen
And you go to sleep on white feathers. REF:
Flat, nowhere hills, everything's flat
Everything's flat for me,
Because in your heart since long ago
Someone else resides
Hey, if you knew
(If you only knew)
How much I need you",https://lyricstranslate.com/en/ti-se-neces-vratiti-and-youre-not-coming-back.html,,,,,,,,,,,,,Gazde,A Ti Se Nećeš Vratiti,,Milijun Poljubaca,2010.0,,2010.0-Milijun Poljubaca
1,vOntpwRZ_1_1,Gazde,Gazde,"Ajmo tugo, ajmo tamburasi",11170,"Volio sam jednu zenu
jednu zenu kose plave
s njom sam htio cekat' stotu
u malenoj kucici kraj Save

Volio sam jednu zenu
jednu zenu oka plava
s njom sam htio cekat' stotu
al' sad spava, sakrila je trava
 
Ref.
Ajmo tugo, ajmo tamburasu
zapjevajmo onoj koja spava
bila mi je jedina na svijetu
bila mi je ljubav prava

Ajmo tugo, ajmo tamburasi
neka zice njeno ime zovu
jer ja vise nikad necu naci
mjesto njene ljubav novu

Volio sam jednu zenu
jednu zenu kose plave
s njom sam htio cekat' stotu
u malenoj kucici kraj Save

Volio sam jednu zenu
jednu zenu oka plava
s njom sam htio cekat' stotu
al' sad spava, sakrila je trava

Ref. 2x","https://tekstovi.net/2,962,19531.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,"['Rajko Dujmić', 'Nenad Ninčević']","['Rajko Dujmić', 'Nenad Ninčević']",['Zdravko Šljivac'],['Gazde'],https://diskografija.com/pjesma/ajmo-tugo-ajmo-tamburasi-7709.htm,"Ajmo tugo, ajmo tamburaši",,,,"Volio sam jednu zenu
Jednu zenu kose plave
S njom sam htio cekat' stotu
U malenoj kucici kraj Save

Volio sam jednu zenu
Jednu zenu oka plava
S njom sam htio cekat' stotu
Al' sad spava, sakrila je trava

Ajmo tugo, ajmo tamburasu
Zapjevajmo onoj koja spava
Bila mi je jedina na svijetu
Bila mi je ljubav prava

Ajmo tugo, ajmo tamburasi
Neka zice njeno ime zovu
Jer ja vise nikad necu naci
Mjesto njene ljubav novu

Volio sam jednu zenu
Jednu zenu kose plave
S njom sam htio cekat' stotu
U malenoj kucici kraj Save

Volio sam jednu zenu
Jednu zenu oka plava
S njom sam htio cekat' stotu
Al' sad spava, sakrila je trava","Ajmo tugo, ajmo tamburaši",https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/ajmo-tugo-ajmo-tamburasi.html,Gazde,"Ajmo Tugo, Ajmo Tamburaši",3:48,Na Dnu Duše Moje,1999.0,Rajko Dujmić,1999.0-Na Dnu Duše Moje
2,vOntpwRZ_1_2,Gazde,Gazde,Andjeli,8914,"Nocas me nesto probudilo
kroz prozor nebo pogledam
a gore dva su andjela
koja sam sanjao

Jedan na zlatnoj liri svira
njezne tonove i srce dira
drugi pjesmom me doziva
da nocas krenem stazom djedova
 
Al' ja jos nisam svoje sve zavrsio
mnogo toga jos je ovdje ostalo
al' mislit cu na nas, jer pjesma ta me opija

Ref.
I kad Bog mi oprosti sve grijehe sto sam cinio
u snu mi dodjite da sviramo zajedno
i kad Bog mi oprosti sve grijehe sto sam cinio
u snu mi dodjite da zapjevamo zajedno

Ako te nocu probude 
andjeli sto nas odvode
ja cu se svega sjetiti 
i ljubavi koja ce za me moliti

Al' ja jos nisam svoje sve zavrsio
mnogo toga jos je ovdje ostalo
al' mislit cu na nas, jer pjesma ta me opija

Ref. 3x
","https://tekstovi.net/2,962,19479.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,,,,,,,,,,"Noćas me nešto probudilo
Kroz prozor nešto pogledam
a gore dva su anđela
koje sam sanjao
Jedan na zlatnoj liri svira
njezne tonove i srce dira
Drugi s pjesmom me doziva
Da noćas krene stazom djedova

Al' ja još nisam svoje sve završio
mnogo toga je ovdje ostalo
al' mislit ću na vas
jer pjesma ta me opija

I kad Bog mi oprosti
Sve grijehe što sam činio
U snu mi dođite
da zapjevamo zajedno

Ako te noću probude
anđeli što nas odvode
ja ću se svega sjetiti
i ljubav koja će za me moliti",Anđeli,https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/andjeli.html,Gazde,Anđeli,2:58,Bit Će Bolje,,,nan-Bit Će Bolje
3,vOntpwRZ_1_3,Gazde,Gazde,Bagremi su procvjetali,7541,"Tamburasi, Ocenasi
ispovijedam nevjeru
nevjeran sam njoj i casi
pjesmi, Bogu, bagremu

Ej, birtasu, sklanjaj casu
sve sam lazi ispio
noc mi krade moju dragu
tko nam ljubav prokleo
 
Ref. 2x
Bagremi su procvjetali
opijali rosu
na gozbu su drugog zvali
da joj mrsi kosu

Tamburasu, ne za banku
vec iz duse zasviraj
onu nasu o rastanku
s tom cu pjesmom poc u raj

Zorom cut ces rajsku pticu
pjesma joj je ranjena
razbij casu nevjernicu
zalij vinom cvijet bagrema

Ref. 2x

Nevjeran sam njoj i casi
pjesmi, Bogu, baremu
","https://tekstovi.net/2,962,19942.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Marijan Jergović'],['Rajko Stilinović'],['Damir Mihovec'],['Gazde'],https://diskografija.com/pjesma/bagremi-su-procvjetali-7681.htm,Bagremi su procvjetali,,,,"Tamburasi, Ocenasi
Ispovijedam nevjeru
Nevjeran sam njoj i casi
Pjesmi, Bogu, bagremu

Ej, birtasu, sklanjaj casu
Sve sam lazi ispio
Noc mi krade moju dragu
Tko nam ljubav prokleo

Bagremi su procvjetali
Opijali rosu
Na gozbu su drugog zvali
Da joj mrsi kosu

Tamburasu, ne za banku
Vec iz duse zasviraj
Onu nasu o rastanku
S tom cu pjesmom poc u raj

Zorom cut ces rajsku pticu
Pjesma joj je ranjena
Razbij casu nevjernicu
Zalij vinom cvijet bagrema

Nevjeran sam njoj i casi
Pjesmi, Bogu, baremu",Bagremi su procvjetali,https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/bagremi-su-procvjetali.html,Gazde,Bagremi Su Procvjetali,3:10,Zbog Tebe Sam To Što Jesam,,,nan-Zbog Tebe Sam To Što Jesam
4,vOntpwRZ_1_4,Gazde,Gazde,"Becar, to je zvanje",6968,"Nikad kuci ja ne zurim
makar zora svice
nikad ne znam, pa i necu
popit' zadnje pice

Ref.
Svi mi kazu, nemoj tako
a ja odgovaram
pravih lola sve je manje
becar, to je zvanje
 
Prijatelji piju s nogu
i zena se boje
a ja sjedim u birtiji
pijem pice svoje

Ref.

Da se rodim jos jedanput
kamo vece srece
pa da opet u birtiji 
pijem svako vece

Ref.","https://tekstovi.net/2,962,12243.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Darko Dervišević'],['Darko Dervišević'],['Damir Mihovec'],['Gazde'],https://diskografija.com/pjesma/becar-to-je-zvanje-7680.htm,"Bećar, to je zvanje",,,,,,,Gazde,"Bećar, To Je Zvanje",3:08,Zbog Tebe Sam To Što Jesam,,,nan-Zbog Tebe Sam To Što Jesam
5,vOntpwRZ_1_5,Gazde,Gazde,Bit ce bolje,11533,"Jos jedan dan u Zagrebu 
vozim se u tramvaju
ide masa praznih dzepova
na ovom svijetu nikoga 
pogled ravno nevjera
nema kune za prosjaka
 
I dok tako sanjarim
shvatih, ovdje silazim
guram se do izlaza
al' tu je hrpa likova
vozac vrata zatvara
jos jedan krug u tramvaju

Ref.
Eto vidis, to je moja sudbina
uvijek isto, bezbroj praznih krugova
Bozja volja, kriza mladih umova
bit ce bolje, moram prezivjet' do sutra

Jos jedan dan u Zagrebu
magla je na Sljemenu
pljusti kisa jesenja
brdo tmurnih oblaka, odurna vodurina
more je pod nogama

Stojim sam na krizanju
opet znam, zakasnit cu
vidim, gori crveno
cekam tako strpljivo, prodje taxi prebrzo
i cijeloga me zasprica

Ref.","https://tekstovi.net/2,962,12242.html",,,,,,,,['Vjekoslav Dimter'],['Vjekoslav Dimter'],['Zdravko Šljivac'],['Gazde'],https://diskografija.com/pjesma/bit-ce-bolje-7693.htm,Bit će bolje,1997 - Bit će bolje,2005 - Zlatna kolekcija,,"Još jedan dan u Zagrebu vozim se u tramvaju,
Ide masa praznih džepova
Na ovom svijetu nikoga pogled ravno, nevjera
Nema kune za prosjaka
I dok tako sanjarim, shvatih, ovdje silazim
Guram se do izlaza, al tuje hrpa likova,
Vozać vrata zatvara,
Još jedan krug u tramvaju...

Eto vidiš, to je moja sudbina,
Uvijek isto, bezbroj praznih krugova,
Božja volja, kriza mladih umova,
Bit će bolje, moram preživjet do sutra

Još jedan dan u Zagrebu, magla je na Sljemenu,
Pljušti kiša jesenja
Brdo tmurnih oblaka, odurna vodurina,
More je pod nogama
Stojim sam na križanju, opet znam, zakasnit ću,
Vidim, gori crveno
Čekam tako strpljivo, prođe taxi prebrzo
I cjeloga me zašprica...",Bit će bolje,https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/bit-ce-bolje.html,Gazde,Bit Će Bolje,3:13,Bit Će Bolje,,,nan-Bit Će Bolje
6,vOntpwRZ_1_6,Gazde,Gazde,Da smo prije znali,12598,"Jedan zivot jos i sad samo tebi pripada
bez tebe ja nisam to sto sam bio nekada
sve mi se pomijesalo, sve mi se okrenulo
i u vjetar hladni rasulo

Ne bih tvojom ulicom, al' me srce odvlaci
znas li da si nekom sve tko ti nista ne znaci
kad sam zlatnu jabuku ja za sebe ubrao
drugi mi je s dlana ukrao
 
Ref.
Da smo prije znali, da smo prije smjeli
sve bi dobro bilo da smo ranije se sreli
kasno je ovako za nas srece nema
bolje je da ne vidis u oku sto se sprema
samo da smo ranije se sreli

Daj mi krila goluba da ti na tren odletim
da ti tijelo milujem, da ti usne osjetim
milijuni puteva, al' ni jedan do tebe
tko te cuva samo za sebe

Ref. 2x

Samo da smo ranije se sreli
","https://tekstovi.net/2,962,19859.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,,,,,,,,,,"Jedan život još i sad
Samo tebi pripada
bez tebe ja nisam to
što sam bio nekada
Sve mi se pomiješalo
sve mi se okrenulo
i u vjetar hladni rasulo

Ne bih tvojom ulicom
al' me srce odvlaći
Znaš li da si nekom sve
tko ti ništa ne znaći
Kad sam zlatnu jabuku
ja za sebe ubrao
drugi mi je s dlana ukrao

Da smo prije znali da smo prije smijeli
sve bi dobro bilo da smo ranije se sreli
kasno je ovako za nas sreće nema
bolje je da ne vidiš u oku što se sprema
Samo da smo ranije se sreli

Daj mi krila goluba
Da ti na tren odletim
Da ti tjelo milujem
da ti usne osjetim
Milijuni puteva
al' ni jedan do tebe
Tko te čuva samo za sebe",Da smo prije znali,https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/da-smo-prije-znali.html,Gazde,Da Smo Ranije Znali,3:07,Bit Će Bolje,,,nan-Bit Će Bolje
7,vOntpwRZ_1_7,Gazde,Gazde,Da smo ranije se sreli,271,"Jedan zivot jos i sad
samo tebi pripada
bez tebe ja nisam to
sto sam bio nekada

Sve mi se pomijesalo
sve mi se okrenulo
i u vjetar hladni rasulo
 
Ne bih tvojom ulicom
ali me srce odvlaci
znas li da si nekom sve
tko ti nista ne znaci

Kad sam zlatnu jabuku
ja za sebe ubrao
drugi mi je, s dlana, ukrao

Ref.
Da smo prije znali
da smo prije smjeli
sve bi dobro bilo
da smo ranije se sreli

Kasno je, ovako
za nas srece nema
bolje je, da ne vidis
u oku sto se sprema
samo da smo ranije se sreli

Daj mi krila goluba
da ti na tren odletim
da ti tijelo milujem
da ti usne osjetim

Milijuni puteva
al´ nijedan do tebe
tko te cuva samo za sebe

Ref. 2x

Samo da smo ranije se sreli","https://tekstovi.net/2,962,63701.html",,,,,,,,,,,,,,,,,,,,,,,,,,
8,vOntpwRZ_1_8,Gazde,Gazde,Dan po dan,7921,"Otkud sada, otkud ti
tu, pred mojim vratima
kao sjena, kao duh
nakon svih tih godina

Otkud sada, otkud ti
tko li mi te poslao
zar ces sada uzeti
i to sto je ostalo
 
Ref. 2x
Dan po dan zivot trosim, dan po dan
kad si sam sporo ide, kad si sam
al' se niceg' ja ne bojim jer ja vise ne postojim
nestajem dan po dan, dan po dan

Otkud sada, otkud ti
tu, pred mojim vratima
kao sjena, kao duh
nakon svih tih godina

Otkud sada, otkud ti
tko li mi te poslao
zar ces sada uzeti
i to sto je ostalo

Ref. 3x
","https://tekstovi.net/2,962,19944.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,"['Rajko Dujmić', 'Nenad Ninčević']","['Rajko Dujmić', 'Nenad Ninčević']","['Marko Bujanović', 'Zdravko Šljivac']",['Gazde'],https://diskografija.com/pjesma/dan-po-dan-7706.htm,Dan po dan,,,,"Otkud sada, otkud ti
Tu, pred mojim vratima
Kao sjena, kao duh
Nakon svih tih godina

Otkud sada, otkud ti
Tko li mi te poslao
Zar ces sada uzeti
I to sto je ostalo

Dan po dan zivot trosim, dan po dan
Kad si sam sporo ide, kad si sam
Al' se niceg' ja ne bojim jer ja vise ne postojim
Nestajem dan po dan, dan po dan

Otkud sada, otkud ti
Tu, pred mojim vratima
Kao sjena, kao duh
Nakon svih tih godina

Otkud sada, otkud ti
Tko li mi te poslao
Zar ces sada uzeti
I to sto je ostalo",Dan po dan,https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/dan-po-dan.html,Gazde,Dan Po Dan,3:55,Na Dnu Duše Moje,1999.0,Rajko Dujmić,1999.0-Na Dnu Duše Moje
9,vOntpwRZ_1_9,Gazde,Gazde,Dat ce Bog i bolje dane (& Vedrana Vukojevic),11665,"Zapjevat cu jos veceras
onu koju volis najvise
 ali nema nista od nas
i na tugu pjesma mirise  

A da mogu vratit vrijeme
sve bi ja promjenio
 uvenule usne moje
jer ih nisi ljubio  
 
Ref.
Dat ce Bog i bolje dane
bolje dane nekada
nek' te, duso, pjesma ova
na me uvijek podseca

Zivotari, zivotari
sve si mi oprastala
 meni dane krao si  
sve i nista dao ti
 ali, duso, sa mnom znao si  

A ima li, reci meni
poslje svega, put do srca tvog
za tebe su zameteli
svi putevi, nema ni jednog

Ref.

Dat ce Bog i bolje dane
bolje dane nekada
[kur ]jos me samo ova pjesma
na te uvjek podseca ","https://tekstovi.net/2,962,39716.html",,,,,,,,,,,"['Gazde', 'Vedrana Vukojević']",https://diskografija.com/pjesma/dat-ce-bog-i-bolje-dane-20328.htm,Dat će Bog i bolje dane,,,,"Zapjevat ću još večeras onu
Koju voliš najviše
Ali nema ništa od nas
I na tugu pjesma miriše.

A da mogu vratit vrijeme
Sve bi ja promijenio
Uvenule usne moje
Jer ih nisi ljubio.

Dat će Bog i bolje dane
Bolje dane nekada, nek te dušo
Pjesma ova na me uvijek podsjeća
Životari, životari
Sve si mi opraštala
Meni dane krao si
Sve i ništa dao ti,
Ali, dušo, sa mnom znao si.

A ima li, reci meni poslije svega 
Put do srca tvog
Za tebe su zameteni svi
Putevi nema nijednog

Pa da mogu vratit vrijeme
Sve bi' ja promijenio
Uvenule usne moje jer ih nisi ljubio.

Dat će Bog i bolje dane
Bolje dane nekada, nek' te dušo
Pjesma ova na me uvijek podsjeća

Dat će Bog i bolje dane, bolje dane nekada
Još me samo ova pjesma na te uvijek podsjeća
Sad životari, životari, sve si mi opraštala

Meni dane krao si, sve i ništa dao ti
Ali, dušo, sa mnom znao si.

Meni dane krao si sve i ništa dao ti
Ti, dušo, sa mnom znala si. ",Dat će Bog i bolje dane (duet Vedrana Vukojević),https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/dat-ce-bog-i-bolje-dane-duet-vedrana-vukojevic.html,,,,,,,
10,vOntpwRZ_1_10,Gazde,Gazde,Did Luka,12971,"Kad je bio mlad
 moj did Luka
trazio je hlad
 pokraj poljskog puta

Ref.
Snasa kao snasa
 rumeno joj lice
vragolasti osmijeh
 oci zavodnice
 
Taj moj did Luka
 volio je zene
po tom mu ja slicim
 a i on na mene

Ref.

Danas moj did Luka
 rakijicu pije
i sa sjetom kaze
 da mi je ko prije

Ref.","https://tekstovi.net/2,962,12244.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Veljko Valentin Škorvaga'],"['Veljko Valentin Škorvaga', 'Evica Kraljić']",['Veljko Valentin Škorvaga'],['Gazde'],https://diskografija.com/pjesma/did-luka-7675.htm,Did Luka,1994 - Zbog tebe sam to što jesam,2005 - Zlatna kolekcija,,"Kad je bio mlad moj did Luka
Tražio je hlad pokraj poljskog puta

Snaša kao snaša rumeno je lice
Vragolasti osmijeh oči zavodnice

Taj moj did Luka volio je žene
Po tom mu ja sličim a i on na mene

Danas moj did Luka rakijicu pije
I sa sjetom kaže, ""da mi je k'o prije""",Did Luka,https://cuspajz.com//tekstovi-pjesama/pjesma/gazde/did-luka.html,Gazde,Did Luka,2:49,Zbog Tebe Sam To Što Jesam,,,"nan-Zbog Tebe Sam To Što Jesam/nan-Gazde Zagrebu, Koncert Iz Doma Športova"
