Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Skladba_diskografija,Stihovi_diskografija,Album_3_diskografija,Aranžman_diskografija,Album_4_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,+RXzsM0Y_1_0,Mate Bulić,Mate Bulić,Ako se ikad na nebu sretnemo,11664,"Kad mi tuga srce opije
kad ni vino mi ne pomaze
ne moze se protiv sudbine
sad mi dusa pusta ostade
2x

Nit' osmjeha tvoga kada nema
da mi samocu razbije
sanjam tvoju nestvarnu ljepotu
sve si meni bila u zivotu
 
Ref.
Ako se ikad na nebu sretnemo
da li ces me, duso, i tad znati
hoces li mi ruke svoje pruziti
hoces li mi tugu otjerati

Ako se ikad na nebu sretnemo
da li ces ime moje pamtiti
hoces li mi oprostiti sve
sta ce mi zivot bez tebe","https://tekstovi.net/2,729,26465.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/ako-se-ikad-na-nebu-sretnemo-12947.htm,Ako se ikad na nebu sretnemo,,,,,,,,,,
1,+RXzsM0Y_1_1,Mate Bulić,Mate Bulić,Bilo jednom sretnih dvoje,11334,"Ne znas, moja tugo
kako dusa pati
kako ova ljubav boli 
kad je nemam kome dati

Ne znas, moja tugo
nikad neces znati
kako je kad nekog cekas 
a neces ga docekati
 
Ref. 2x
Bilo jednom sretnih dvoje 
bilo jednom zlato moje
suze, suze, suze, samo suze
a sve drugo nestalo je

Ne znas, moja tugo
sve sam tebi dao
al' jos nisam nase dane
sreco moja, isplakao

Ref. 3x","https://tekstovi.net/2,729,26461.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/bilo-jednom-sretnih-dvoje-12948.htm,Bilo jednom sretnih dvoje,1994 - Gdje ste noćas prijatelji stari,2001 - Sve najbolje,,,,,,,,
2,+RXzsM0Y_1_2,Mate Bulić,Mate Bulić,Bog samo zna,25059,"Tamo gdje smo bili sretni ja i ti
sad se drugi ljube kao nekad mi
a ti, a ti, da l' na mene pomislis
jos mirisu lipe, cvijece pred oltarom
jos ti nudim srce, jos je sve po starom
a ti, a ti, da l' na mene pomislis
 
Ref. 2x
Bog samo zna sto te volim ja
sto cu te voljeti jos sto godina

Ako poludim zbog ljubavi
nek ti nebo oprosti
a ja necu, vjeruj mi

Ref.","https://tekstovi.net/2,729,15806.html",,Bog samo zna,Bóg tylko wie,,"Tamo gdje smo bili sretni ja i ti
sad se drugi ljube kao nekad mi
a ti, a ti, da l' na mene pomislis. jos mirisu lipe, cvijece pred oltarom
jos ti nudim srce, jos je sve po starom
a ti, a ti, da l' na mene pomislis. Ref. 2x
Bog samo zna sto te volim ja
sto cu te voljeti jos sto godina. Ako poludim zbog ljubavi
nek ti nebo oprosti
a ja necu, vjeruj mi. Tamo gdje smo bili sretni ja i ti
sad se drugi ljube kao nekad mi
a ti, a ti, da l' na mene pomislis. jos mirisu lipe, cvijece pred oltarom
jos ti nudim srce, jos je sve po starom
a ti, a ti, da l' na mene pomislis. Ref. 2x
Bog samo zna sto te volim ja
sto cu te voljeti jos sto godina. Ako poludim zbog ljubavi
nek ti nebo oprosti
a ja necu, vjeruj mi","Tam, gdzie byliśmy szczęśliwi Ty i ja
Teraz inni się całują, jak kiedyś my
A Ty, a Ty, czy (jeszcze) o mnie myślisz. Wciąż pachną lipy, kwiaty przed ołtarzem
Wciąż Ci ofiaruję serce, wciąż jest wszystko po staremu
A Ty, a Ty, czy (jeszcze) o mnie myślisz. Ref. 2x
Bóg tylko wie, jak ja Cię kocham
Że będę Cię kochał jeszcze sto lat. Jeśli oszaleję z powodu miłości
Niech Ci niebo wybaczy
A ja nie mogę, uwierz mi. Tam, gdzie byliśmy szczęśliwi Ty i ja
Teraz inni się całują, jak kiedyś my
A Ty, a Ty, czy (jeszcze) o mnie myślisz. Wciąż pachną lipy, kwiaty przed ołtarzem
Wciąż Ci ofiaruję serce, wciąż jest wszystko po staremu
A Ty, a Ty, czy (jeszcze) o mnie myślisz. Ref. 2x
Bóg tylko wie, jak ja Cię kocham
Że będę Cię kochał jeszcze sto lat. Jeśli oszaleję z powodu miłości
Niech Ci niebo wybaczy
A ja nie mogę, uwierz mi",https://lyricstranslate.com/en/bog-samo-zna-b%C3%B3g-tylko-wie.html,['Mate Bulić'],https://diskografija.com/pjesma/bog-samo-zna-6992.htm,Bog samo zna,"1999 - Uživo, Split - uživo",2004 - Megamix,['Đorđe Novković'],['Štefanija Soldan'],,,,"Tamo gdje smo bili sretni ja i ti
sad se drugi ljube kao nekad mi
a ti, a ti, da l' na mene pomislis
jos mirisu lipe, cvijece pred oltarom
jos ti nudim srce, jos je sve po starom
a ti, a ti, da l' na mene pomislis

Bog samo zna sto te volim ja
sto cu te voljeti jos sto godina

Ako poludim zbog ljubavi
nek ti nebo oprosti
a ja necu, vjeruj mi",Bog samo zna,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-bulic/bog-samo-zna.html
3,+RXzsM0Y_1_3,Mate Bulić,Mate Bulić,Boli glava,12668,"Boli glava od nevjerstva tvoga
boli glava zbog pijanstva moga

Ref. 2x
Nevjerstvo tvoje i pijanstvo moje
kad se spoje, tuga caruje
 
Slavi narod zbog nevjerstva tvoga
slavi narod zbog pijanstva moga

Ref. 2x

Rastasmo se zbog nevjerstva tvoga
rastasmo se zbog pijanstva moga

Ref. 4x","https://tekstovi.net/2,729,26464.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/boli-glava-7003.htm,Boli glava,1999 - Pjevajte sa mnom,2004 - Megamix,['Siniša Vuco'],['Siniša Vuco'],,,,,,
4,+RXzsM0Y_1_4,Mate Bulić,Mate Bulić,Bozic u tudjini,1892,"Daleko od rodnog kraja
opet kazem, to je zadnji put
stisne ceznja uvijek kada
Bozic je pred vratima

Cesta duga kojoj nema kraja
preda mnom je tko zna koji put
dok se kisne kapi
u pahulje pretvaraju
 
Dok se kisne kapi
u pahulje pretvaraju

Ref.
Sve sto mogu, odavno sam dao
uvijek iste darove sam slao
k'o da tako umirit cu srce
sto za domom vene

Varljiva je sreca koju trazis
tu gdje nemas nikog svog
uvijek zaigra mi srce
kad se sjetim doma mog

U mom kraju okitit ce jelku
zapjevati kao nekada
mene tamo nece biti
k'o ni proslih godina

Mene tamo opet nece biti
k'o ni proslih godina

Ref. 2x","https://tekstovi.net/2,729,55276.html",,,,,,,,,,,,,,,,,,,,
5,+RXzsM0Y_1_5,Mate Bulić,Mate Bulić,"Casa bila, razbila se",9816,"Evo, zora tek sto nije
a ja vino nisam popio
kao da se cijeli zivot 
u tu casu tuge skupio

Ali srce ne bi htjelo 
da se iza vina sakrije
nek se zato ova casa 
ko moj zivot sva razbije
 
Ref.
Ne sudite mi, prijatelji 
sto sam zbog nje casu razbio
ne bih nocas pijan bio 
da je nisam ludo volio

Casa bila, razbila se 
i neka se plati
ali zivot cijene nema 
kad se voli, kad se pati","https://tekstovi.net/2,729,18023.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/casa-bila-razbila-se-12966.htm,Čaša bila razbila se,,,,,,,,,,
6,+RXzsM0Y_1_6,Mate Bulić,Mate Bulić,Da nije Mostara,1940,"Da nije Mostara
da nije Mostara
ni pjesama ne bi tako lijepih bilo

Pjevale se ne bi sa toliko zara
da nije Mostara
da nije Mostara
 
Ref. 2x
Sve prolazi, sve se mijenja
idu dani, idu godine
samo Mostar uvijek ostaje
srce moje Hercegovine

Da nije Mostara
da nije Mostara
ni Neretva ne bi tako lijepa bila

Protjecala ne bi sa toliko cara
da nije Mostara
da nije Mostara

Ref. 2x","https://tekstovi.net/2,729,58594.html",,,,,,,,,,,,,,,,,,,,
7,+RXzsM0Y_1_7,Mate Bulić,Mate Bulić,Da si me vise voljela,839,"Ja nisam htio da odes s njim
i nisam htio da bude tako
nadah se vjecnoj sreci sa tobom
nadah se da me ti volis jako

Ref.
Da si me vise voljela ti
sve je moglo biti od nas
ali ti si poslusala neki tudji glas
 
Sad se kajes, mene trazis
gotovo je s tim
da si me vise voljela ti
ne bi nikad posla s njim

U mom zivotu bila si sve
ti si to dobro i sama znala
i htjedoh da te na jesen zenim
ali si ljubav drugome dala

Ref.

Kazu da nisi sad srecna s njim
i zelis opet da mi se vratis
al' ja te sada vise ne zelim
sada je kasno, moras da shvatis

Ref.","https://tekstovi.net/2,729,58595.html",,,,,,,,,,,,,,,,,,,,
8,+RXzsM0Y_1_8,Mate Bulić,Mate Bulić,Dabogda se i ti udala,21876,"Idi seko neka ti je siroko i ravno
zbog tebe sam 
s pameti se rasto' odavno 

Neka drugi usreci se mjesto 
mene mala, nisam lud 
da tebe zenim jer si varala
 
Ref. 2x 
Dabogda se i ti udala
ne za mene, vec za drugoga 
nek' ti dragi bude drugi neko 
samo budi od mene daleko

Hoces, neces ti ces draga 
izgubiti mene
necemo jos dugo
kako god se okrene 

Ne treba ti puno mene 
da napravis ludim
nisam blesav da se s tobom 
na brak usudim

Ref. 4x","https://tekstovi.net/2,729,9970.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/dabogda-se-i-ti-udala-4338.htm,Dabogda se i ti udala,2003 - Etnofest Neum 2003,2003 - Gori borovina,['Marko Perković Thompson'],"['Marko Perković Thompson', 'Faruk Buljubašić Fayo']",2004 - Megamix,,,,,
9,+RXzsM0Y_1_9,Mate Bulić,Mate Bulić,Dan po dan,9406,"Ja sam sestro rodjen
za igre na srecu
ne mogu izgubiti

Cekam da me krene
odustati necu
pa ces me poljubiti
 
Koga lazem
na krivom sam putu
tu se glava gubi za minutu

Ref.
Dan po dan, noc po noc
cekajuci tebe sestro
zivot ce mi proc'

Dan po dan, noc po noc
kladit cu se da ces meni prije zore doc'

Znam ja da me volis
i cesto se molis
da me prodje ludilo

Al' jos jednom samo
moram poci tamo
iz sna me probudilo

Koga lazem
na krivom sam putu
tu se glava gubi za minutu

Ref.

Koga lazem
na krivom sam putu
tu se glava gubi za minutu

Ref.

Dan po dan, noc po noc
kladit cu se da ces meni prije zore doc'","https://tekstovi.net/2,729,26010.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/dan-po-dan-12490.htm,Dan po dan,,,['Marko Perković Thompson'],['Faruk Buljubašić Fayo'],,['Branimir Mihaljević'],,,,
10,+RXzsM0Y_1_10,Mate Bulić,Mate Bulić,Djevojka iz mog kraja,18507,"Ref.
Za djevojku iz mog kraja
mene nesto jako spaja
pa me zelja kuci vuce
bez nje mi je nemoguce

U mom kraju svi me znaju 
dragom Bogu hvala
u toj lijepoj zemlji 
gdje se Gospa ukazala
 
Na me ceka ljubav prava
kosa joj je plava
vratit cu se zbog te kose
vec me noge nose

Ref.

Mene moja draga voli
brine se i moli
dragi Boze milost prospi
dok se moli Gospi

Ref. 3x","https://tekstovi.net/2,729,10020.html",,,,,,,https://lyricstranslate.com/en/language/english,['Mate Bulić'],https://diskografija.com/pjesma/djevojka-iz-mog-kraja-6987.htm,Djevojka iz mog kraja,2003 - Gori borovina,2004 - Megamix,['Marko Perković Thompson'],['Faruk Buljubašić Fayo'],,['Branimir Mihaljević'],,,,
11,+RXzsM0Y_1_11,Mate Bulić,Mate Bulić,"Dodijalo, pajdo",909,"Dodijalo, pajdo, 'vako svaki dan
samo radi, rintaj, vazda umoran
jedva cekam petak pa da lumpujem
do zore, do jutra rana

Nek' sviraci sviraju sta bilo
meni treba provoda
 
Ref.
Daj meni, daj svima jos po jednu turu
ja castim sve po redu i najlipsu curu
daj meni, daj svima, nisu vazne pare
u zivotu ni'ko nema i jare i pare

Kad bi festa bila skoro svaki dan
ja bi' rado bio stalno mamuran
volim pravo drustvo, pjesmu, a i ples
do zore, do jutra rana

Nek' sviraci sviraju sta bilo
meni treba provoda

Ref. 2x","https://tekstovi.net/2,729,59441.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/dodijalo-pajdo-7001.htm,Dodijalo pajdo,1997 - Dodijalo pajdo,"1999 - Uživo, Split - uživo",['Ivan Mikulić'],['Ivan Mikulić'],2001 - Sve najbolje,['Nikša Bratoš'],2004 - Megamix,"Dodijalo pajdo, vako svaki dan
Samo radi rintaj, vazda umoran.
Jedva čekam petak, pa da lumpujem
Do zore, do jutra rana.

Nek svirači sviraju, šta bilo
Meni treba provoda.

Daj meni, daj svima, još po jednu turu
Ja častim sve po redu, i najlipšu curu
Daj meni, daj svima, nisu važne pare
U životu nitko nema, i jare i pare.

Kad bi fešta bila, skoro svaki dan
Ja bi rado bio, stalno mamuran.
Volim pravo društvo, pjesmu a i ples
Do zore, do jutra rana.

Nek svirači sviraju, šta bilo
Meni treba provoda.

Daj meni, daj svima, još po jednu turu
Ja častim sve po redu, i najlipšu curu
Daj meni, daj svima, nisu važne pare
U životu nitko nema, i jare i pare.",Dodijalo pajdo,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-bulic/dodijalo-pajdo.html
12,+RXzsM0Y_1_12,Mate Bulić,Mate Bulić,Domu mom,69365,"Vodila me pjesma 
na sve strane svijeta
putovala sa mnom
uvjek vjera sveta
daleko u tudjem kraju
a mislima u zavicaju
domu mom, jedinom
 
A 'ko ima tako ljepo plavo more 
te ravnice zlatne i planinske gore
nema mi na tudjoj grudi
obicaja mojih ljudi
doma mog, jedinog

Ref. 2x
Jednom kada zivot
moje oci sklopi
kamenom me pokri
Neretvom poskropi

Uz kriz mi napisi
becarina ova
voljela je pjesmu  
i zemlju pradjedova

Ej da mi se vratit u vremena prosla
ne bi moja noga u tudjinu posla
nego da me sunce grije
tu gdje mi je najmilije
domu mom, jedinom

Ref. 4x","https://tekstovi.net/2,729,32272.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/domu-mom-15393.htm,Domu mom,,,,,,,,,,
13,+RXzsM0Y_1_13,Mate Bulić,Mate Bulić,Dvije lude (duet Maja Suput),41843,"Zivio sam brzo, ljubio polako
al' mi prava ljubav stigla zadnjim vlakom
pristajes uz moje tijelo kao najljepse odijelo
tvoja mi ljepota vrijedi sto zivota 

Birati sam mogla kojega pozelim
molila sam Boga da nekom se veselim
da mi dade dobru dusu 
nekog kada vijetri pusu
i sve noci, dane, da se brine za me
 
Nek ne brise covjek to sto nebo pise
jednom kad das srce ne vracaj ga vise 

Ref.
Dvije lude za nas kazu 
pusti to nek ljudi lazu
a ja nosim te ko tetovazu

Dvije lude pa neka smo 
samo sretni, sretni da smo 
i nek vide da nam dobro ide

Bog zna da smo bili mi siromasi ljubavi 
od kada smo zajedno, do neba smo bogati

Ref. 2x","https://tekstovi.net/2,729,34686.html",,Dvije lude,,Domu mom (2011),"Živio sam brzo, ljubio polako
al' mi prava ljubav stigla zadnjim vlakom
pristaješ uz moje tijelo kao najljepše odijelo
tvoja mi ljepota vrijedi sto života. Birati sam mogla kojega poželim
molila sam Boga da nekom se veselim
da mi dade dobru dušu
nekog kada vijetri pušu
i sve noći, dane, da se brine za me. Nek ne briše čovjek to što nebo piše
jednom kad daš srce ne vraćaj ga više. Ref.
Dvije lude za nas kažu
pusti to nek ljudi lažu
a ja nosim te ko tetovažu. Dvije lude pa neka smo
samo sretni, sretni da smo
i nek vide da nam dobro ide. Bog zna da smo bili mi siromasi ljubavi
od kada smo zajedno, do neba smo bogati. Ref. 2x",,https://lyricstranslate.com/en/mate-buli%C4%87-dvije-lude-lyrics.html,"['Maja Šuput', 'Mate Bulić']",https://diskografija.com/pjesma/dvije-lude-15394.htm,Dvije lude,2011 - Domu mom,2012 - Vrući ljetni hitovi 2012,,,2014 - Najljepše ljubavne pjesme - Valentinovo - Maja Šuput,,,"Živio sam brzo ljubio polako
Al mi prava ljubav stigla zadnjim vlakom,
Pristaješ uz moje tijelo kao najljepše odijelo,
Tvoja mi ljepota vrijedi sto života

Birati sam mogla kojega poželim
Molila sam Boga da nekom se veselim
Da mi dade dobru dušu,
Nekog kada vijetri pušu,
I sve noći dane da se brine zame

Nek ne briše čovjek to što nebo piše
Jednom kad daš srce ne vraćaj ga više

Dvije lude za nas kažu, pusti to nek ljudi lažu,
A ja nosim te ko tetovažu,
Dvije lude pa neka smo
Samo sretni, sretni da smo i nek vide da nam dobro ide

Bog zna da smo bili mi siromasi ljubavi
Od kada smo zajedno, do neba smo bogati

Nek ne briše čovjek to što nebo piše,
Jednom kad daš srce ne vraćaj ga više,

Dvije lude za nas kažu, pusti to nek ljudi lažu,
A ja nosim te ko tetovažu,
Dvije lude pa neka smo
Samo sretni, sretni da smo i nek vide da nam dobro ide

Bog zna da smo bili mi siromasi ljubavi,
Od kada smo zajedno, do neba smo bogati",Dvije lude (duet Maja Šuput),https://cuspajz.com//tekstovi-pjesama/pjesma/mate-bulic/dvije-lude-duet-maja-suput.html
14,+RXzsM0Y_1_14,Mate Bulić,Mate Bulić,Eh da je srce stijena,3352,"Naucite me zivjeti bez nje
pa da opet nebu poletim
kada druge usne poljubim
da ih opet stvarno osjetim

Naucite me zivjeti bez nje
kada sanjam da je ne vidim
da za druge zivim, ginem ja
a da njoj se vise ne divim
 
Ref.
Eh da je srce stijena
bila bi vec prezaljena
ne bi kad me svirci prate
sve sjecalo na te

Eh da je srce stijena
bila bi vec prezaljena
bolujem svake zime
a u ljeto dozivam tvoje ime

Ref.","https://tekstovi.net/2,729,48478.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/eh-da-je-srce-stijena-25097.htm,Eh da je srce stijena,,,,,,,,,,
15,+RXzsM0Y_1_15,Mate Bulić,Mate Bulić,Ej kavano kuco stara,4492,"Noc je crna, noc je hladna
a u mene dusa gladna
samo pjesmu nocas trazim
samo tugu da ublazim

Noc je crna, noc je hladna
samo pjesmu nocas trazim
samo tugu da ublazim
noc je crna, noc je hladna
 
Ref.
Ej, kavano, ej, kavano
tugo moja, moja rano
ej, kavano sva od zlata
otvori mi sirom vrata
otvori mi sirom vrata
ej, kavano, kuco stara
daj jos jednu za becara
ej, kavano, kuco stara

Noc je crna, noc je pusta
a u mene suva usta
samo pjesmu nocas zelim
samo da se proveselim

Noc je crna, noc je pusta
samo pjesmu nocas zelim
samo da se proveselim
noc je crna, noc je pusta

Ref. 2x","https://tekstovi.net/2,729,54870.html",,,,,,,,,,,,,,,,,,,,
16,+RXzsM0Y_1_16,Mate Bulić,Mate Bulić,"Ej sudbino, sestro",824,"Bila mi je i secer i voda
i boginja sto po zemlji hoda
bila mi je sunce sto me grije
moje zlato, moje najmilije

Ref.
Ej sudbino, sestro, sto mi ljubav ote
zalit' cu za njome sve do svoje stote
hej sudbino, sestro, dusa mi je prazna
bez nje zivot nije zivot, nego kazna
 
Bila mi je i melem i rana
moja prva suza isplakana
bila mi je sto nijedna druga
moja sreca, moja vjerna tuga

Ref. 3x","https://tekstovi.net/2,729,59437.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/ej-sudbino-sestro-7004.htm,Ej sudbino sestro,1997 - Dodijalo pajdo,"1999 - Uživo, Split - uživo",['Duško Kuliš'],['Bratislav Zlatanović'],2001 - Sve najbolje,['Nikša Bratoš'],2004 - Megamix,,,
17,+RXzsM0Y_1_17,Mate Bulić,Mate Bulić,"Ej, kavano",28802,"Jutro svice, a ja u noc gledam
caso moja nikome te ne dam
stiscem te u ruku svoju
kao nekad dragu moju

Petorica iza onog puta
odvode me sa mojega puta
od kavane, do kavane
sve dok zora ne osvane
 
Ref. 
Ej, kavano posl'o bi te kvragu
zbog tebe sam izgubio dragu
ej, kavano da si bogda zena
ne bi nikad bila ostavljena

Kratke noci, a dugi mi dani
prolazi mi zivot u kavani
ispred mene stoji starost
iza mene osta mladost

Ref. 4x","https://tekstovi.net/2,729,10018.html",,,,,,,,['Mate Bulić'],https://diskografija.com/pjesma/ej-kavano-6990.htm,"Ej, kavano","1999 - Uživo, Split - uživo","2001 - Sve najbolje
Aranžman: Branimir Mihaljević",['Marko Perković Thompson'],"['Marko Perković Thompson', 'Faruk Buljubašić Fayo']","2003 - Gori borovina
Aranžman: Branimir Mihaljević",,2004 - Megamix,,,
18,+RXzsM0Y_1_18,Mate Bulić,Mate Bulić,"Evo, Ana, opet jorgovana",1328,"Sto me tjera da prolazim opet
tom ulicom gdje smo stanovali
tu odavno ne ceka me niko
mi smo svoje snove odsanjali

Ref. 2x
Evo, Ana, opet jorgovana
na sve strane rascvale se grane
doslo, Ana, proljece i cvijece
doslo svima, samo nama nece
 
Svi pricaju o dva lice srece
kad tad jedno pokuca na vrata
kog' da krivim to sto meni nece
nece, nece, kao iz inata

Ref. 2x","https://tekstovi.net/2,729,56621.html",,,,,,,,,,,,,,,,,,,,
19,+RXzsM0Y_1_19,Mate Bulić,Mate Bulić,Golubice bijela,35394,"Golubice bijela
sto si nevesela
3x

Kako ne bi bila 
jadna nevesela
 

Kad moj golub leti 
od jata do jata
3x

I on ljubi lice 
druge golubice
3x

Moj golube bijeli
kad ces doci k meni
3x

Za dvi godinice 
moja golubice
3x","https://tekstovi.net/2,729,26548.html",,,,,,,https://lyricstranslate.com/en/idiom/sinje-more#n2126636,,,,,,,,,,,,,
