Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Accordion_discogs,Vocals_discogs,Backing Vocals_discogs,Drum Programming [Rhythm Machine]_discogs,Written-By_discogs,Lyrics By [English]_discogs,Music By_discogs,Drum Programming_discogs,Guitar [Solo]_discogs,Synthesizer_discogs,Arranged By_discogs,Lyrics By [Translation]_discogs,Lyrics By [Quote]_discogs,Lyrics By_discogs,Voice_discogs,Featuring_discogs,Producer_discogs,Album_year_title_discogs,All_albums_discogs
Plavi Orkestar,Plavi Orkestar,Simpatija,,Simpatija,,,,,,,,,,,,,,,,,,,nan-Simpatija,nan-Simpatija/1995.0-Sačuvaj Zadnji Ples Za Mene/nan-Everblue 2/2002.0-Everblue hitovi/2005.0-Antologija /nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Beštija,,Simpatija,,,,,,,,Marijan Brkić,,,,,,,,,,,nan-Simpatija,nan-Simpatija
Plavi Orkestar,Plavi Orkestar,O Mladosti,,Simpatija,,,,,,,,,,,,,,,,,,,nan-Simpatija,nan-Simpatija/1995.0-Sačuvaj Zadnji Ples Za Mene
Plavi Orkestar,Plavi Orkestar,Ljeto,,Simpatija,,,,,,,,,,,,,,,,,,,nan-Simpatija,nan-Simpatija
Plavi Orkestar,Plavi Orkestar,Samo Ponekad Na Tvoj Rođendan,,Simpatija,,,,,,,,,,,,,,,,,,,nan-Simpatija,nan-Simpatija/1995.0-Sačuvaj Zadnji Ples Za Mene/nan-Everblue 1/2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Sačuvaj Zadnji Ples Za Mene (INTRO),,Sačuvaj Zadnji Ples Za Mene,1995.0,,,,,,,,,,,,,,,,,,1995.0-Sačuvaj Zadnji Ples Za Mene,1995.0-Sačuvaj Zadnji Ples Za Mene
Plavi Orkestar,Plavi Orkestar,Goodbye Teens,3:36,Everblue 1,,,,,,,,,,,,,,,,,,,nan-Everblue 1,nan-Everblue 1/2002.0-Everblue hitovi/nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme
Plavi Orkestar,Plavi Orkestar,Ne Brini Mama,3:34,Everblue 1,,,,,,,,,,,,,,,,,,,nan-Everblue 1,nan-Everblue 1/2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Suada (Demo),2:55,Everblue 1,,,,,,,,,,,,,,,,,,,nan-Everblue 1,nan-Everblue 1
Plavi Orkestar,Plavi Orkestar,Mladene,1:51,Everblue 1,,,,,,,,,,,,,,,,,,,nan-Everblue 1,nan-Everblue 1
Plavi Orkestar,Plavi Orkestar,Zelene Su Oči Te,3:26,Everblue 2,,,,,,,,,,,,,,,,,,,nan-Everblue 2,nan-Everblue 2/nan-Antologija (19 Hitova)
Plavi Orkestar,Plavi Orkestar,O-La-La,2:13,Everblue 2,,,,,,,,,,,,,,,,,,,nan-Everblue 2,nan-Everblue 2
Plavi Orkestar,Plavi Orkestar,Zarazi Me,3:04,Everblue 2,,,,,,,,,,,,,,,,,,,nan-Everblue 2,nan-Everblue 2
Plavi Orkestar,Plavi Orkestar,Ako Su To Samo Bile Laži,5:11,Ako Su To Samo Bile Laži...,1998.0,,,,,,,,,,,,,,,,,,1998.0-Ako Su To Samo Bile Laži...,1998.0-Ako Su To Samo Bile Laži.../nan-Longplay/nan-Antologija (19 Hitova)/2010.0-Najljepše Ljubavne Pjesme
Plavi Orkestar,Plavi Orkestar,Kad Ti Ljubav Ime Prozove,4:08,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Od Rođendana Do Rođendana,4:09,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay/2007.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme
Plavi Orkestar,Plavi Orkestar,Prije Nego Odeš Iz Života Mog,4:44,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Život Je Lijep,4:22,Longplay,,,,,,,,Samir Ćeremida,,,,,,,Samir Ćeremida,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Linija Života,4:38,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Biser,4:13,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,"Volio Te Tako Drugi, Dao Dragi Bog",4:26,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Straže,4:32,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Pita,3:49,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Brodovi,5:25,Longplay,,,,,,,,Marijan Brkić,,,,,,,Zlatko Arslanagić,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Uspomene,5:20,Longplay,,,,,,,,,,,,,,,,,,,nan-Longplay,nan-Longplay
Plavi Orkestar,Plavi Orkestar,Odlazim,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)/2005.0-Antologija /nan-Antologija (19 Hitova)
Plavi Orkestar,Plavi Orkestar,Djevojka Iz Snova,,(Infinity),,,,,,Saša Lošić,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Otrovni Cvijet,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)/nan-Antologija (19 Hitova)
Plavi Orkestar,Plavi Orkestar,Tako Male Stvari,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Sada Mi Se Javljaš,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Jedina,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Šampion,,(Infinity),,,,,,,,,,,,,,,,Špela Možina,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Azra,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,O Kakav Mjesec,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Pijem Da Je Zaboravim,,(Infinity),,,,,,Radmila Popović,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Ljubav Nije Laka Stvar,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Zauvijek,,(Infinity),,,,,,,,,,,,,,,,,,,nan-(Infinity),nan-(Infinity)
Plavi Orkestar,Plavi Orkestar,Sava Tiho Tece,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,Ustani Voljena Sejo,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi/nan-Antologija (19 Hitova)
Plavi Orkestar,Plavi Orkestar,Proljece,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,Kad Si Sam Druze Moj,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,Zelene Su Oci Te,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,Medena Curice,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,Lovac I Kosuta,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,Ne Mogu Ti Nista Dati,,Everblue hitovi,2002.0,,,,,,,,,,,,,,,,,,2002.0-Everblue hitovi,2002.0-Everblue hitovi
Plavi Orkestar,Plavi Orkestar,CD1,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Goodbye teens ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Parajlija ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Odlazi nam raja,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,To je šok,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Sava tiho teče,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,"Ustani, voljena Sejo",,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Ne brini mama,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Ne mogu ti ništa osim srca dati,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Mi smo pijane budale,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Samo ponekad na tvoj rođendan,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Suada (Demo) ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Mladene ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Ako su to samo bile lazi,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,CD2,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Soldatski bal ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Bolje biti pijan nego star,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,(Medena curice) daj mi vruče rakije,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,"Puteru, puteru",,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,"Kada si sam, druže moj ",,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Zelene su oči te,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Nisam je probudio,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Ti si moja sudbina,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Lovac i kosuta,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Tell me why ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,O-la-la,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Zarazi me,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Otrovni cvijet,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Djevojka iz snova,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Medena Curice / Daj Mi Vruće Rakije,3:09,Antologija (19 Hitova),,,,,,,,,,,,,,,,,,,nan-Antologija (19 Hitova),nan-Antologija (19 Hitova)
Plavi Orkestar,Plavi Orkestar,Zelene Su bile Oči Te,3:26,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Ako su To Samo Bile Laži,5:06,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,"Sava, Tiho Teče",4:01,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,"Fa, Fa, Fašista",5:02,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,U Jervema Slika Ta,3:29,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Ustani Voljena Sajo,3:00,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Kad Si Sam Druže Moj,2:41,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Što Če Nama Šoferima Kuća,3:03,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,(R) Evolucija,,Sedam,2012.0,,,,,,,,,,,,,,,,Dubioza Kolektiv,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Sedam,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Nedodirljiva,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Slatke Čari,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Amerika,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Ti Misliš Da Je Meni Lako,,Sedam,2012.0,,,,,,,,,,,,,,,,Dragana Mirković,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,S Tvojim Imenom Na Usnama,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Od Kad Si Dama,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Bi Li Pošla Sa Mnom,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Život Nije Bajka,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Svako Od Nas Nosi Svoju Bol,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,"Fa, Fa, Fašista Nemoj Biti Ti (Cerbo Ću Te Ja Draga Ubiti)",5:02,Greatest Hits Collection,,,,,,Saša Lošić,,,,,,Plavi Orkestar,,,,,,Saša Lošić,nan-Greatest Hits Collection,nan-Greatest Hits Collection
