Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Lyrics By_discogs,Written-By_discogs,Music By_discogs,Album_year_title_discogs,All_albums_discogs
Slavonske Lole,Slavonske Lole,"Slavonijo, Ponos Si Hrvata",,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,"Oj, Đakovo, Šokadijo Stara",,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata"
Slavonske Lole,Slavonske Lole,Evo Lole,,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata"
Slavonske Lole,Slavonske Lole,Zazvonit Će Zvona,,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata"
Slavonske Lole,Slavonske Lole,Na Kraj Sela,,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata"
Slavonske Lole,Slavonske Lole,"Vraćam Ti Se, Dome",,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Samo Nju Sam Volio,,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata"
Slavonske Lole,Slavonske Lole,Vukovarska Golubica,,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Na Ćupriji,,"Slavonijo, Ponos Si Hrvata",1992.0,,,,,"1992.0-Slavonijo, Ponos Si Hrvata","1992.0-Slavonijo, Ponos Si Hrvata/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Hej Mati,3:55,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Crne Oči,4:06,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Ova Naša Livada,1:39,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Lagani Bećarac,4:09,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Kolo Kukunješće,3:16,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,PavićanskeTri Kapije,2:34,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Pjevat Će Slavonia,3:26,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Aoj Meni,3:40,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Slavonsko Kolo,5:14,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/1994.0-Crne Oči & Tamburo Miljenice/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Pavićanske Tri Kapije,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Pjevat Će Slavonija,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Tamburo Miljenice,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Viruj Mi Dado,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Lipa Mara,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Odavno Je Prošlo Sve,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Lola Jesam,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Nek Nebo Proplače,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Šokica,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Vraćam Ti Se Mili Dome,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Tamburaši I Birtaši,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,Jašino Kolo,,Crne Oči & Tamburo Miljenice,1994.0,,,,,1994.0-Crne Oči & Tamburo Miljenice,1994.0-Crne Oči & Tamburo Miljenice
Slavonske Lole,Slavonske Lole,"Viruj Mi, Dado",4:09,"Viruj Mi, Dado",1997.0,Ivica Ićo Grujo,Josip Mikić,Ivica Ićo Grujo,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado"
Slavonske Lole,Slavonske Lole,Tu Je Moja Slavonija,2:17,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Drago Pecek,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Moj Bagreme,3:00,"Viruj Mi, Dado",1997.0,,,Ivica Ićo Grujo,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,"Ej Kato, Moje Zlato",2:51,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Krešimir Stipa Bogutovac,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado"
Slavonske Lole,Slavonske Lole,"Mjeseče, Bekrijo",3:04,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Goran Živković (4),,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,"Zoro, Plava",3:08,"Viruj Mi, Dado",1997.0,Mario Zbiljski,Josip Mikić,Darko Ergotić,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado"
Slavonske Lole,Slavonske Lole,Nije Zora,2:56,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Franjo Ivić,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado"
Slavonske Lole,Slavonske Lole,Bunjevačko Kolo,2:12,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Folk,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Mojoj Kati,2:57,"Viruj Mi, Dado",1997.0,,,Branimir Jovanovac,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado"
Slavonske Lole,Slavonske Lole,"Ej, Da Je Kao Nekad",3:20,"Viruj Mi, Dado",1997.0,,,Ivica Ićo Grujo,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado"
Slavonske Lole,Slavonske Lole,Poleti Pjesmo Moja,3:03,"Viruj Mi, Dado",1997.0,Mario Zbiljski,M. Gregić,Franjo Ivić,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Oko Moje Neposlušni Gade,2:27,"Viruj Mi, Dado",1997.0,Mario Zbiljski,Iva Jemrić - Rus,Valentin Veljko Škorvaga,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Kad Su Stari Svinje Žirovali,3:41,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Folk,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,"Kajo, Moja Kajo",4:35,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Folk,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Vesela Je Šokadija,2:35,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Folk,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Bećarac,3:56,"Viruj Mi, Dado",1997.0,Mario Zbiljski,,Folk,,"1997.0-Viruj Mi, Dado","1997.0-Viruj Mi, Dado/2009.0-Zlatna Kolekcija"
Slavonske Lole,Slavonske Lole,Malena,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2008.0-Slavonske Lole u Lisinskom/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Šta Kog Briga,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Cijeli Život Njeno Ime,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Samo Nebo Zna,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,di Su Dado Kola Stara,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena
Slavonske Lole,Slavonske Lole,Pismo Kumu Tuni,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,"Slavonijo, Volim Te",,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Ponoći,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena
Slavonske Lole,Slavonske Lole,"Oj Marija, Marija",,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena
Slavonske Lole,Slavonske Lole,Hrvatski Lovče Dobra Ti Kob,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena
Slavonske Lole,Slavonske Lole,Davorski Pokladni Bećarac,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena
Slavonske Lole,Slavonske Lole,Bušarac,,Malena,2001.0,,,,,2001.0-Malena,2001.0-Malena/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Sve Je Ona Meni,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni/nan-Ledina/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Aoj Tajna željo Moja,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni
Slavonske Lole,Slavonske Lole,Kato Zlato,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni
Slavonske Lole,Slavonske Lole,Bit Ću Ovdje Još Za Tebe,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Daj Mi Daj,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni
Slavonske Lole,Slavonske Lole,Svirac Bećarina,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Graničari Pokraj Rijeke Save,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni
Slavonske Lole,Slavonske Lole,Svatovska,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Di Se Skrila Slavonija,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Bećarska,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Drmeš,,Sve Je Ona Meni,2003.0,,,,,2003.0-Sve Je Ona Meni,2003.0-Sve Je Ona Meni
Slavonske Lole,Slavonske Lole,Duša Bećarska,3:15,Ledina,,,,,,nan-Ledina,nan-Ledina/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Ledina,3:05,Ledina,,,,,,nan-Ledina,nan-Ledina/2008.0-Slavonske Lole u Lisinskom/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Moja Marija,3:06,Ledina,,,,,,nan-Ledina,nan-Ledina/2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Srce Mi Puno Radosti,2:50,Ledina,,,,,,nan-Ledina,nan-Ledina/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Kad Procvatu Jabuke,3:03,Ledina,,,,,,nan-Ledina,nan-Ledina
Slavonske Lole,Slavonske Lole,Prijatelju Nije Lako,3:22,Ledina,,,,,,nan-Ledina,nan-Ledina/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,T'eraj Žestoko,2:26,Ledina,,,,,,nan-Ledina,nan-Ledina
Slavonske Lole,Slavonske Lole,Vino Daj,2:39,Ledina,,,,,,nan-Ledina,nan-Ledina
Slavonske Lole,Slavonske Lole,"Svirajte Mi, Pjevajte",3:54,Ledina,,,,,,nan-Ledina,nan-Ledina
Slavonske Lole,Slavonske Lole,Ti Si Moje Najmilije,3:00,Ledina,,,,,,nan-Ledina,nan-Ledina/2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Prekasno,3:34,Ledina,,,,,,nan-Ledina,nan-Ledina/2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Viruj mi dado,4:14,Slavonske Lole u Lisinskom,2008.0,,Josip Mikić,,Ivica Ićo Grujo,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Tu je moja Slavonija,2:14,Slavonske Lole u Lisinskom,2008.0,,Drago Pecek,,Drago Pecek,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Srce mi puno radosti,2:41,Slavonske Lole u Lisinskom,2008.0,,Miroslav Škoro,,Rajko Suhodolčan,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Vino daj,2:35,Slavonske Lole u Lisinskom,2008.0,,Franjo Ivić,,Franjo Ivić,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Vesela je šokadija,2:37,Slavonske Lole u Lisinskom,2008.0,,,,,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Duša bećarska,3:06,Slavonske Lole u Lisinskom,2008.0,,Marina Soldat,,Franjo Ivić,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Di se skrila Slavonija,3:40,Slavonske Lole u Lisinskom,2008.0,,Krešimir Stipa Bogutovac,,Krešimir Stipa Bogutovac,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,T'eraj žestoko,2:29,Slavonske Lole u Lisinskom,2008.0,,Miroslav Škoro,,Jerry Grcevich,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Mata,5:50,Slavonske Lole u Lisinskom,2008.0,,Miroslav Škoro,,Miroslav Škoro,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Ne dirajte mi ravnicu,3:52,Slavonske Lole u Lisinskom,2008.0,,Miroslav Škoro,,Miroslav Škoro,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Ti si moje najmilije,3:20,Slavonske Lole u Lisinskom,2008.0,,Miroslav Škoro,,Miroslav Škoro,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Nije moja duša prazna,4:19,Slavonske Lole u Lisinskom,2008.0,,Dušan Gruborović,,Krunoslav Kićo Slabinac,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Otiš'o je s mirisima jutra,4:01,Slavonske Lole u Lisinskom,2008.0,,Željko Krznarić,,Krunoslav Kićo Slabinac,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Inati se slavonijo,3:41,Slavonske Lole u Lisinskom,2008.0,,Dušan Gruborović,,Krunoslav Kićo Slabinac,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Kad procvatu jabuke,2:59,Slavonske Lole u Lisinskom,2008.0,,Ivan Pepelko,,Ivan Pepelko,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Prijatelju nije lako,3:33,Slavonske Lole u Lisinskom,2008.0,,Josip Mikić,,Darko Ergotić,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,Sve je ona meni,4:03,Slavonske Lole u Lisinskom,2008.0,,Vlado Tančik,,Franjo Ivić,2008.0-Slavonske Lole u Lisinskom,2008.0-Slavonske Lole u Lisinskom
Slavonske Lole,Slavonske Lole,CD 1,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Aoj Tajna Željo Moja,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Graničari Pokraj RIjeke Save,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,"Daj Mi, Daj",,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,"Hrvatski Lovče, Dobra Ti Kob",,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,"Ej, Kato Moje Zlato",,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,ponoći,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Ja Se Vozim Brzo,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,CD 2,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Di Su Dado Kola Stara,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Ne Bi Svoje Ostavio Like,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
Slavonske Lole,Slavonske Lole,Preko Kapele,,Zlatna Kolekcija,2009.0,,,,,2009.0-Zlatna Kolekcija,2009.0-Zlatna Kolekcija
